"Guía Oficial de Precios","","","","","","","","","","","","","","","","","","","",""
"ALFA ROMEO                         0km             2025            2024            2023            2022            2021            2020            2019            2018           2017          2016          2015          2014          2013          2012      2011","","","","","","","","","","","","","","","","","","","",""
"159","","","","","","","","","","","","","","","","","","","",""
"1.8 TBi 6MT Cuero
TC (200cv)","","u$s           -                   -                   -                   -                   -                   -                   -                   -                   -                  -                 -                 -                 -                 -          12.500,00      -","","","","","","","","","","","","","","","","","",""
"2.2 JTS Selespeed      u$s           -                   -                   -                   -                   -                   -                   -                   -                   -                  -                 -                 -          10.800,00   10.500,00   10.200,00      -
Cuero (185cv)","","","","","","","","","","","","","","","","","","","",""
"3.2 JTS 4x4 (260cv)    u$s           -                   -                   -                   -                   -                   -                   -                   -                   -                  -                 -                 -          15.000,00   14.300,00   13.500,00      -","","","","","","","","","","","","","","","","","","","",""
"Giulia","","","","","","","","","","","","","","","","","","","",""
"2.0T AT RDW
Distinctive (200cv)","","u$s           -                   -                   -                   -                   -            40.200,00     36.100,00     32.500,00     29.300,00           -                 -                 -                 -                 -                 -             -","","","","","","","","","","","","","","","","","",""
"2.0T AT AWD Veloce  u$s    77.500,00     67.000,00     61.000,00     56.000,00     51.400,00     46.300,00     41.700,00     37.500,00     34.000,00           -                 -                 -                 -                 -                 -             - (280cv)","","","","","","","","","","","","","","","","","","","",""
"2.9 Biturbo AT RWD Quadrifoglio (510cv)
1.4Tbi 6MT Sprint (120hp)","","","u$s   189.000,00   170.000,00   160.000,00   150.000,00   140.000,00   130.000,00   120.000,00   110.000,00   100.000,00          -                 -                 -                 -                 -                 -             -
u$s           -                   -                   -                   -                   -                   -            14.400,00     13.600,00     12.800,00    12.000,00   11.200,00          -                 -                 -                 -             -","","","","","","","","","","","","","","","","",""
"Giulietta","","","","","","","","","","","","","","","","","","","",""
"1.4Tbi 6MT                  u$s           -                   -                   -                   -                   -                   -                   -                   -                   -                  -                 -                 -          10.000,00    9.500,00     9.000,00       -
Progression (120hp)","","","","","","","","","","","","","","","","","","","",""
"1.4Tbi 6MT
Distinctive (120hp)","","u$s           -                   -                   -                   -                   -                   -                   -                   -                   -                  -                 -                 -          10.500,00   10.000,00    9.500,00       -","","","","","","","","","","","","","","","","","",""
"1.4 Tbi MultiAir 6MT    u$s           -                   -                   -                   -                   -                   -                   -                   -                   -                  -                 -                 -          11.000,00   10.500,00   10.000,00      -
Progression (170hp)","","","","","","","","","","","","","","","","","","","",""
"1.4 Tbi MultiAir 6MT
Distinctive (170hp)","","","u$s           -                   -                   -                   -                   -                   -                   -                   -                   -                  -          13.200,00   12.500,00   11.900,00   11.300,00   10.700,00      -","","","","","","","","","","","","","","","","",""
"1.4 Tbi MultiAir TCT    u$s           -                   -                   -                   -                   -                   -            17.000,00     16.200,00     15.300,00    14.600,00   13.800,00   13.200,00   12.500,00   11.900,00   11.300,00      -
Distinctive (170hp)","","","","","","","","","","","","","","","","","","","",""
"1.8Tbi 6MT
Quadrifoglio Verde (230cv)","","u$s           -                   -                   -                   -                   -                   -                   -                   -                   -                  -          20.000,00   19.000,00   18.100,00   17.100,00   16.300,00      -","","","","","","","","","","","","","","","","","",""
"1.8Tbi Veloce TCT (240cv)","u$s","","","-","-","-","-","-","-","25,000.00","23,800.00","22,600.00","21,400.00","-","-","-","-","-","-",""
"Mito","","","","","","","","","","","","","","","","","","","",""
"1.4 MT Progression
(78cv)","","u$s           -                   -                   -                   -                   -                   -                   -                   -            14.800,00    13.200,00          -                 -                 -                 -                 -             -","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
